股票代码,股票简称,截止日期,行业代码,所属省份,股权性质,wufei,zhaochenyv,yuanchun,lishouxi,csmar,净资产收益率(%),资产报酬率(%),EBITDA率(%),营业收入增长率(%),成本费用利润率(%),总资产周转率(%),应收账款周转率(%),存货周转率(%),营业周期,现金资产比率(%),技术人员占比(%),研发营收比(%),发明专利申请数,数字化软硬件投入比(%),管理层数字职务设立,数字化战略导向前瞻性,数字化战略导向持续性,数字化战略导向广度,数字化战略导向强度,数字发明专利,数字国家级奖项,数字创新论文,数字创新标准,数字创新资质,数字创新资质,两权分离率(%),数字人力计划投入,科技创新基地建设,员工人均营收比(%),提供岗位增长率(%),员工收入增长率(%),社会责任报告质量,供应链合作伙伴,数字化供应链覆盖度,客户集中度(%),供应商集中度(%),投入资本回报率(%),总资产增长率(%),资本积累率(%),营业利润增长率(%),股权集中度(%),独董比例(%),现金流动负债比率(%),董事会规模,资产负债率(%),权益乘数(%),速动比率(%),流动资产周转率(%),长期资本负债率(%)
000039,中集集团,2020,33,广东省,1,1.791759469228055,2.3102352246137765,3.055656602400873,0.5003856978202067,41.8425,0.110417,0.058978,12615200000.0,0.097229,0.07923,0.591602,5.085456,2.843352,200.691259,0.08761612483438462,8.79,1.74,5.5134287461649825,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8426435029354207,2.7858795132253755,-2.183983693417657,12.000001481889152,0.0,1.0,11.11,15.11,0.071413,-0.150464,-0.021515,0.274182,79.87,0.3333333333333333,0.215294,2.302585092994046,0.631672,2.714969,0.868364,1.19822,0.378915
000039,中集集团,2021,33,广东省,1,0.0,0.2466804472166632,0.7501172058134083,-2.7617562695786416e-05,56.9469,0.15087,0.098507,17816974000.0,0.738504,0.090363,1.089367,7.419321,7.600037,97.221959,0.13332245697599213,8.82,1.37,5.225746673713202,0.28484213070133996,0.0,8.0,8.0,5.0,0.134132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1634518610134115,1.2641878669275908,34.70513832019564,12.000058117670918,0.0,1.0,16.43,17.11,0.088758,0.055474,0.058051,0.810783,77.37,0.3333333333333333,0.302578,2.302585092994046,0.630773,2.708358,0.906209,2.203189,0.339933
000049,德赛电池,2020,38,广东省,1,2.6390573296152584,1.6381736787331052,7.481751824817519,1.0008038465634606,38.5676,0.260497,0.106908,1202936504.38,0.051789,0.049776,2.178375,4.527612,9.537761,119.211102,0.14184275092932472,8.85,1.81,3.091042453358316,0.02353187393865,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.952,0.0,0.0,1.9727269870497304,0.913382594417067,1.7092216183905773,0.0,0.0,0.0,73.73,60.95,0.18546,0.030688,-0.013602,0.075625,62.48,0.3333333333333333,0.212711,2.302585092994046,0.687771,3.202774,0.907695,2.701616,0.062845
000049,德赛电池,2021,38,广东省,1,2.995732273553991,2.6897593782182683,8.0,1.1711959648207824,55.1515,0.253994,0.098206,1256587222.66,0.003765,0.051284,1.960813,3.976084,8.241852,136.085028,0.0445775547249609,8.85,2.09,2.995732273553991,0.044981434596885,0.0,8.0,8.0,6.0,0.206875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8429582892778043,7.444320146445649,6.205421012621959,0.0,0.0,4.0,65.58,57.41,0.156793,0.192233,0.215074,0.053282,53.05,0.3333333333333333,0.07393,2.302585092994046,0.681789,3.142568,0.872248,2.525128,0.198528
000049,德赛电池,2022,38,广东省,1,3.295836866004329,3.4244793023919655,7.1520618556701026,0.970725143750116,52.2886,0.222728,0.084468,1318097196.13,0.117009,0.047726,1.86756,4.46694,7.132503,132.885599,0.03123836095981459,11.78,2.53,3.332204510175204,0.046692682412905,0.0,9.0,9.0,5.0,0.152189,0.0,0.0,0.0,0.0,0.0,0.0,2.293,0.0,0.0,1.9639810452392992,4.817794604827252,31.364743782780536,0.0,0.0,4.0,67.84,57.27,0.11031,0.161235,0.231836,0.035932,53.91,0.3333333333333333,0.063017,2.302585092994046,0.662442,2.962456,0.923434,2.574715,0.33062
000049,德赛电池,2023,38,广东省,1,2.70805020110221,2.0430988425722005,5.796610169491526,0.6854060457258151,52.1799,0.096404,0.040801,1134106416.48,-0.067323,0.027404,1.397373,4.257226,7.366634,135.284312,0.17584780046337556,12.97,3.17,3.970291913552122,0.13968043244043,0.0,10.0,10.0,5.0,0.111801,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,1.8543668486269314,-1.2190716994762485,-24.462584840214507,0.0,0.0,2.0,65.17,50.28,0.050056,0.318552,0.509711,-0.461258,51.09,0.3333333333333333,0.421925,2.302585092994046,0.613504,2.58735,1.320883,2.047184,0.337313
000055,方大集团,2023,33,广东省,2,2.302585092994046,5.926214136245432,5.698358624961288,0.8153922949302583,38.2851,0.046724,0.029907,429950148.8,0.115735,0.080837,0.328633,4.922876,4.644309,152.73446,0.022408367041143476,21.5,4.2,0.0,0.037905505770615,0.0,6.0,7.0,5.0,0.102589,0.0,0.0,0.0,0.0,0.0,0.0,1.6665,8020.0,0.0,1.3608765745117313,8.124785738772712,10.293610457885194,9.0,0.0,6.0,12.58,18.26,0.032041,0.049522,0.036838,-0.04085,30.35,0.42857142857142855,0.05352,2.0794415416798357,0.548846,2.216538,1.006016,0.725046,0.223904
000055,方大集团,2020,33,广东省,2,1.9459101490553132,2.3631782636077374,2.8484618306114697,0.5241569557957438,39.8946,0.071503,0.047675,583100210.33,-0.008801,0.179867,0.256429,2.316368,3.065049,277.416797,0.04623884608386663,25.17,4.75,0.0,0.047834468008059995,0.0,3.0,4.0,5.0,0.134739,0.0,0.0,0.0,0.0,0.0,0.0,1.6305,0.0,0.0,1.3270808063073496,-6.263048016701466,7.774218860454973,9.000220230126367,0.0,3.0,15.07,21.18,0.048603,0.043702,0.041327,0.200408,27.69,0.42857142857142855,0.129432,2.0794415416798357,0.540957,2.178446,1.012148,0.606052,0.28582
000055,方大集团,2021,33,广东省,2,1.3862943611198906,4.217176040434318,3.5592060232717317,0.3518984942957622,37.2766,0.041043,0.030711,404111516.59,0.194149,0.080714,0.294599,6.063886,3.515089,164.030478,-0.005172787309760333,19.03,4.3,0.0,0.048237497366200005,0.0,4.0,5.0,3.0,0.1101,0.0,0.0,0.0,0.0,0.0,0.0,1.6665,0.0,0.0,1.2023401140723218,31.804008908685976,14.757229658484917,9.000345459922643,0.0,10.0,15.68,17.5,0.031634,0.033242,0.0264,-0.458577,28.56,0.42857142857142855,-0.015656,2.0794415416798357,0.543997,2.192969,1.055641,0.700114,0.31898
000055,方大集团,2022,33,广东省,2,2.5649493574615367,4.616667542448884,4.448275862068965,1.035870962055571,39.2066,0.050152,0.033906,462136066.28,0.081302,0.094703,0.307678,5.540215,4.041733,156.189716,0.017356486170804576,20.19,4.21,0.0,0.04600502032521,0.0,5.0,6.0,5.0,0.178731,0.0,0.0,0.0,0.0,0.0,0.0,1.6665,20.0,0.0,1.318812460898183,-1.4193984454207498,-2.7799650391551967,9.000191270024288,0.0,6.0,17.85,22.03,0.036452,0.039461,0.040989,0.214274,28.99,0.42857142857142855,0.050514,2.0794415416798357,0.543327,2.189749,1.082263,0.735561,0.304279
000059,华锦股份,2023,25,辽宁省,1,0.6931471805599453,0.9403118210900698,1.818181818181818,0.1122253360152295,31.1456,0.005524,0.010459,1964073676.15,-0.059519,0.003373,1.430414,337.038728,7.197959,51.791781,0.030425960959498618,1.62,0.35,0.0,0.048327403578355,0.0,6.0,3.0,2.0,0.095199,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,9.0,0.0,5.886211934765914,-5.485893416927901,-25.318764738921594,10.000012265937299,3.0,0.0,24.25,94.95,0.009448,-0.022818,-0.008407,-0.868724,53.63,0.3333333333333333,0.142421,2.302585092994046,0.530372,2.129344,1.960231,2.445129,0.402786
000059,华锦股份,2022,25,辽宁省,1,0.0,0.5957372738303679,1.5242242787152966,-2.901698772421051e-06,27.7771,0.040003,0.032443,2721038840.84,0.272612,0.017119,1.493241,365.822164,8.545668,43.709452,0.053755764642266904,1.78,0.29,0.0,0.029927552626355,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,5.915377907861105,2.9543197616683115,3.3902829864632,10.0,0.0,1.0,13.86,93.5,0.029369,0.01611,0.014691,-0.294131,53.79,0.3333333333333333,0.155621,2.302585092994046,0.537197,2.160746,1.194666,2.700736,0.292969
000059,华锦股份,2020,25,辽宁省,1,0.0,0.3398511024333743,0.8533747090768037,-4.04779610047968e-06,27.432,0.024417,0.028238,2254121457.36,-0.23154,0.013541,1.063152,187.833057,8.10576,47.101615,0.10088430571258479,1.95,0.37,0.0,0.041748175919995,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,3.6530769869083053,-3.6651636027286383,-18.992445135774727,0.0,0.0,0.0,19.58,93.94,0.02895,-0.049714,-0.002417,-0.735242,54.34,0.3333333333333333,0.376233,2.302585092994046,0.494189,1.977025,1.34122,2.324912,0.308867
000059,华锦股份,2021,25,辽宁省,1,0.0,0.7301441337982802,1.7113519680547633,-2.782149248195812e-06,31.3655,0.064643,0.047671,2875577488.11,0.266608,0.029932,1.284745,216.933486,8.35046,45.39271,0.08733252123647758,0.66,0.32,0.0,0.028694542256115,0.0,4.0,2.0,1.0,0.042096,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,4.785539607888531,-3.3125300048007733,68.56414764528591,9.0,0.0,2.0,22.92,90.61,0.047004,0.151121,0.054717,2.516936,55.48,0.3333333333333333,0.411626,2.302585092994046,0.53655,2.157729,1.921198,2.534032,0.411742
000060,中金岭南,2020,32,广东省,1,1.0986122886681098,0.7612711685632408,0.997605746209098,0.2701182925851144,31.5226,0.090876,0.062594,2096389248.34,0.324694,0.042266,1.35334,52.899321,15.025824,31.276868,0.06580682208940113,8.73,1.04,0.0,0.008934541066345,0.0,2.0,3.0,2.0,0.057809,0.0,0.0,1.0,0.0,0.0,0.0,0.4023,0.0,0.0,3.076032809367565,2.3306627822286874,-0.05885628022472833,9.00003478254565,0.0,1.0,42.9,41.46,0.057236,0.198209,0.130037,-0.15536,41.49,0.3333333333333333,0.351341,2.302585092994046,0.47259,1.896059,1.429625,3.970548,0.351039
000060,中金岭南,2021,32,广东省,1,0.6931471805599453,0.8115806317918474,0.9195402298850576,0.1303069521985538,34.814,0.091795,0.063441,2415583537.64,0.470924,0.034421,1.71115,73.909717,18.784887,24.368971,0.06403086947400398,9.1,0.8,0.0,0.015614738446099998,0.0,3.0,4.0,3.0,0.055009,0.0,0.0,0.0,0.0,1.0,0.0,3.372,0.0,0.0,4.604672485511176,-1.738688357905438,19.611223377724386,9.000026992657627,0.0,2.0,40.52,35.2,0.056191,0.133718,0.071818,0.720655,39.55,0.3333333333333333,0.235957,2.302585092994046,0.501386,2.00556,0.882574,5.056393,0.315687
000060,中金岭南,2022,32,广东省,1,0.0,0.0817859879085608,0.753880266075388,-9.90858831611428e-07,27.4878,0.085024,0.048907,2267951028.17,0.245793,0.025575,1.836801,84.593142,17.813747,24.804565,0.03310017824920595,9.27,0.7,0.0,0.010219523856225,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572,0.0,0.0,5.689957474347737,0.8174668874172175,-11.054818441783521,11.000007173334383,0.0,0.0,40.34,41.24,0.044963,0.182873,0.111255,-0.08098,42.35,0.3333333333333333,0.109616,2.302585092994046,0.531575,2.134814,0.660593,5.819076,0.328939
000060,中金岭南,2023,32,广东省,1,1.791759469228055,1.1560752484002137,1.4332965821389196,0.4147941289939123,33.3459,0.064174,0.046437,3075581737.18,0.184161,0.018478,1.733485,92.183847,10.112295,40.054154,0.03650541501537585,9.02,0.66,0.0,0.028685879309075,0.0,5.0,5.0,4.0,0.089541,0.0,0.0,0.0,0.0,0.0,0.0,3.572,0.0,0.0,5.6822172342664246,18.577440213486597,-13.541422847752981,10.000057182012137,0.0,1.0,35.38,34.32,0.041496,0.317661,0.11899,-0.144475,42.8,0.3333333333333333,0.135542,2.302585092994046,0.602202,2.513839,0.609017,5.062469,0.455571
000153,丰原药业,2023,27,安徽省,2,0.0,0.000589606639375,0.439453125,-3.811116538764355e-06,23.6782,0.085637,0.054326,356005047.0,0.067786,0.052431,0.965049,5.762577,4.991309,136.466828,0.05801257570446615,3.58,2.43,0.0,0.039307109291665,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2177,15.0,0.0,0.915511073601713,0.3437902879243726,10.76468277536129,0.0,0.0,0.0,11.4,20.55,0.057682,-0.017435,0.093496,0.0552,33.17,0.3333333333333333,0.126513,2.302585092994046,0.563041,2.288546,0.660165,2.148289,0.192985
000153,丰原药业,2020,27,安徽省,2,0.0,0.0002581069813296,0.5847953216374269,-1.6683594105359494e-06,25.1639,0.073581,0.049693,265844466.45,0.025669,0.042694,0.923086,4.905514,4.280181,160.120321,0.0805106206428074,3.51,2.79,2.9444389791664403,0.01720713208864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2526,0.0,0.0,0.7289689124956101,-2.3993144815766976,5.887234425097154,0.0,0.0,0.0,11.13,19.81,0.058449,0.021517,0.091068,0.051961,34.45,0.3333333333333333,0.141757,2.302585092994046,0.601789,2.511233,0.586457,1.910101,0.078326
000153,丰原药业,2021,27,安徽省,2,0.6931471805599453,0.374439235242675,1.0822510822510822,0.1122287970491463,29.3206,0.072842,0.050531,276015662.26,0.054344,0.044199,0.939725,5.259369,4.463272,151.17853,0.06233258264222114,3.66,2.69,0.0,0.01263097786028,0.0,0.0,1.0,1.0,0.052704,0.0,0.0,0.0,0.0,1.0,0.0,15.398,0.0,0.0,0.7716326008043191,-0.3950834064969322,25.179888300406915,0.0,0.0,2.0,10.67,22.97,0.056159,0.049536,0.075778,0.118522,37.76,0.3333333333333333,0.12387,2.302585092994046,0.591833,2.449975,0.585935,2.03997,0.17839
000153,丰原药业,2022,27,安徽省,2,0.0,0.1057858983266261,0.6467661691542288,-1.8984788916136384e-06,23.8506,0.085613,0.054453,338769520.42,0.143461,0.052555,0.938996,5.914043,4.244772,147.705637,0.09844859216931685,3.57,2.03,0.0,0.019580539330545,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2711,9.0,0.0,0.8603395748990116,2.556192155134429,11.333603253332281,0.0,0.0,1.0,10.65,18.35,0.06077,0.171083,0.126507,0.383965,31.38,0.3333333333333333,0.187658,2.302585092994046,0.607369,2.546921,0.587833,2.028414,0.174074
000301,东方盛虹,2023,26,江苏省,2,1.9459101490553132,3.154470505097001,1.78491744756805,0.6036408779393587,38.9389,0.0198,0.02108,8624746874.62,1.20048,0.002243,0.778075,128.759051,6.971591,55.19009,0.043860626046717824,13.52,4.07,0.0,0.039799933036015,0.0,8.0,9.0,3.0,0.063042,0.0,0.0,0.0,0.0,0.0,0.0,23.9025,15.0,0.0,4.544387071532165,12.619802485332166,1.417557266424363,10.0,0.0,1.0,18.19,35.68,0.024853,0.142351,-0.005752,-0.413266,74.92,0.42857142857142855,0.109697,2.0794415416798357,0.81341,5.359344,0.191709,4.214331,0.689102
000301,东方盛虹,2022,28,江苏省,2,0.6931471805599453,3.1115325912007914,1.3926499032882012,0.1122284192331109,39.9944,0.016661,0.016086,4759136209.95,0.233945,0.007093,0.427533,104.142359,4.990005,76.651037,0.008352321002371738,9.24,2.51,0.0,0.016527698425595,0.0,7.0,8.0,1.0,0.01847,0.0,0.0,0.0,0.0,0.0,0.0,27.4945,12.0,0.0,2.325801380031704,12.196418349824189,1.1196773617443645,10.000064759681312,0.0,1.0,13.63,22.06,0.01661,0.261428,0.21387,-0.930921,76.51,0.42857142857142855,0.025561,2.0794415416798357,0.785616,4.664517,0.295033,2.178015,0.681563
000301,东方盛虹,2021,28,江苏省,2,0.6931471805599453,2.396489355682805,1.0311493018259934,0.1303071214652394,38.9325,0.170809,0.066413,9260139060.85,1.270807,0.132869,0.480388,119.27895,8.617363,45.416399,0.040406123734429915,9.23,2.76,0.0,0.013868955013395001,0.0,6.0,7.0,1.0,0.014538,0.0,0.0,0.0,0.0,0.0,0.0,21.5778,0.0,0.0,2.1147346347992477,31.515835887508747,116.34902451250935,8.000057629288632,0.0,0.0,10.79,17.37,0.053853,1.097489,0.304249,13.181461,80.38,0.42857142857142855,0.13406,2.0794415416798357,0.777216,4.488657,0.475827,2.041182,0.681098
000301,东方盛虹,2020,28,江苏省,2,1.0986122886681098,2.627760014410843,1.9044196909809556,0.2425369606491182,42.4747,0.016526,0.018322,2114718329.66,-0.084811,0.019751,0.464951,97.431971,7.667866,51.488131,0.03275425044275969,9.44,2.54,0.0,0.01575155942282,0.0,5.0,6.0,3.0,0.080262,0.0,0.0,1.0,0.0,0.0,0.0,24.0713,0.0,0.0,1.2247676257342581,16.7346682568577,21.267023272646668,10.000030107748293,0.0,0.0,12.24,28.93,0.013267,0.795935,0.473715,-0.776424,82.45,0.42857142857142855,0.112393,2.0794415416798357,0.64172,2.791113,0.958839,1.480388,0.494364
000333,美的集团,2023,38,广东省,2,4.060443010546419,25.573896779074623,12.265042528614932,1.841327358106104,64.0393,0.206885,0.081479,44364428000.0,0.080996,0.120238,0.81893,12.173455,5.857126,92.300524,0.11913181496044764,11.69,3.92,0.0,0.0,2.0,10.0,11.0,7.0,0.132599,0.0,0.0,2.0,5.0,0.0,0.0,1.6824,114.0,0.0,1.8815979014465316,19.471496544215405,26.898093276532297,10.0,0.0,5.0,11.74,6.19,0.108957,0.150236,0.147283,0.159771,59.29,0.3333333333333333,0.230462,2.302585092994046,0.641387,2.788521,0.931286,1.371768,0.257644
000333,美的集团,2020,38,广东省,2,3.8501476017100584,21.8135773192376,11.25769569041337,1.615392737931966,64.0393,0.237398,0.087646,34045763000.0,0.022654,0.122423,0.858236,13.650642,6.701506,81.426516,0.082015937378642,10.77,3.56,0.0,0.0,0.0,7.0,8.0,6.0,0.206879,3.0,0.0,2.0,0.0,0.0,0.0,1.6819,0.0,0.0,1.9144441399366117,10.631815385071564,8.059419130409374,10.0,0.0,22.0,13.89,5.14,0.112662,0.193496,0.155736,0.06099,56.51,0.375,0.160505,2.1972245773362196,0.655263,2.900765,1.143515,1.240767,0.295037
000333,美的集团,2021,38,广东省,2,4.663439094112067,25.573896779074623,14.746071509906628,2.48851774115211,62.9637,0.224003,0.078392,35514285000.0,0.201782,0.107835,0.911987,14.333072,6.870719,78.58957,0.09045510094876479,10.92,3.52,0.0,0.0,0.0,8.0,9.0,7.0,0.240596,0.0,0.0,12.0,0.0,0.0,0.0,1.6922,0.0,0.0,2.0709462964191583,11.09629520433666,8.344512627354096,10.0,0.0,20.0,10.63,6.26,0.10608,0.076484,0.085224,0.056765,58.86,0.3333333333333333,0.157467,2.302585092994046,0.652464,2.877403,0.817959,1.505239,0.183347
000333,美的集团,2022,38,广东省,2,4.394449154672439,25.573896779074623,12.20264755648452,2.1840479082804167,63.61,0.207919,0.077899,38076360000.0,0.006838,0.11217,0.848654,13.008845,5.665773,92.479757,0.0820196331856396,12.5,3.67,0.0,0.0,2.0,9.0,10.0,6.0,0.139179,0.0,0.0,34.0,0.0,0.0,0.0,1.6895,24.0,0.0,2.0795384226704283,0.26779413627344706,-5.082182640121625,10.000004036153015,0.0,21.0,11.36,6.36,0.103946,0.089211,0.126822,0.044532,61.13,0.3333333333333333,0.167963,2.302585092994046,0.640464,2.781363,1.042224,1.348792,0.297344
000338,潍柴动力,2022,36,山东省,1,3.044522437723423,2.5749033568216184,3.723562704795949,0.9759026213891578,54.7574,0.054218,0.017628,7374216725.66,-0.139477,0.035781,0.596461,8.739151,4.186424,128.952653,-0.008000577930265361,15.93,5.05,0.0,0.06938079097248,0.0,11.0,10.0,4.0,0.178667,0.0,0.0,21.0,0.0,0.0,0.0,1.63,357.0,3.0,3.7715330008574135,8.12283193257748,2.8270198714364314,10.000009823073881,0.0,0.0,10.81,6.81,0.022544,0.059996,0.011159,-0.579953,52.19,0.3333333333333333,-0.019621,2.772588722239781,0.645479,2.820711,1.128338,1.02254,0.401399
