股票代码,截止日期,股票简称,行业代码,所属省份,股权性质,净资产收益率(%),资产报酬率(%),EBITDA率(%),营业收入增长率(%),成本费用利润率(%),总资产周转率(%),应收账款周转率(%),存货周转率(%),营业周期,现金资产比率(%),技术人员占比(%),研发营收比(%),发明专利申请数,数字化软硬件投入比(%),管理层数字职务设立,数字化战略导向前瞻性,数字化战略导向持续性,数字化战略导向广度,数字化战略导向强度,数字发明专利,数字国家级奖项,数字创新论文,数字创新标准,数字创新资质,两权分离率(%),数字人力计划投入,数字资本计划投入,科技创新基地建设,员工人均营收比(%),提供岗位增长率(%),员工收入增长率(%),社会责任报告质量,供应链合作伙伴,数字化供应链覆盖度,客户集中度(%),供应商集中度(%),行业名称,score
000030,2022,富奥股份,36,吉林省,国企,0.055169,0.029698,8.9608945562,-0.020088,0.035881,0.834697,6.068094,61.882127000000004,99.485097,0.0184715756441942,12.8,3.53,4.007333185232471,0.0,0.0,9.0,9.0,4.0,0.128507,0.0,0.0,0.0,0.0,0.0,2.7546,18.0,0.0,0.0,1.5542182994498022,5.107212475633527,-0.006723096261215811,0.0,1.0,2.0,58.47,14.13,汽车制造业,0.08919412799516035
000030,2023,富奥股份,36,吉林省,国企,0.084984,0.044369,11.5643933996,0.2603,0.045355,0.982278,5.525421,60.185750000000006,99.313346,0.0026069008386548,14.5,3.6,4.382026634673881,0.0,0.0,10.0,10.0,5.0,0.110911,0.0,0.0,0.0,0.0,0.0,2.8627,9.0,0.0,0.0,1.985789174578842,-1.360039564787341,0.4260640894140273,10.000026422385398,3.0,1.0,64.89,10.88,汽车制造业,0.13826262450170282
000039,2018,中集集团,33,广东省,国企,0.085078,0.054181,100.98988,0.225396,0.074595,0.645951,5.452926,67.74534200000001,173.780683,0.0008857533343374,6.63,1.11,0.0,0.0,0.0,5.0,6.0,5.0,0.092577,1.0,0.0,0.0,0.0,0.0,13.8547,0.0,0.0,0.0,1.8242370592940904,1.1126674426404248,0.1412708836837686,12.00005621263302,0.0,4.0,14.42,10.67,金属制品业,0.08476059514205964
000039,2019,中集集团,33,广东省,国企,0.046725,0.041633,95.22596,-0.082166,0.066612,0.518535,4.729305,69.024057,247.94051,0.0205599498467007,6.84,1.73,0.0,0.0,0.0,6.0,7.0,4.0,0.109381,0.0,0.0,1.0,0.0,0.0,13.8425,0.0,0.0,0.0,1.7261458513527104,-3.000799953173472,0.11131974820606194,13.000052434452911,0.0,2.0,6.39,10.17,金属制品业,0.07628874773198083
000039,2020,中集集团,33,广东省,国企,0.110417,0.058978,126.152,0.097229,0.07923,0.591602,5.085456,68.31818100000001,200.691259,0.0876161248343846,8.79,1.74,5.5134287461649825,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842643502935421,2.7858795132253755,-0.02183983693417657,12.000001481889152,0.0,1.0,11.11,15.11,金属制品业,0.1052894851989874
000039,2021,中集集团,33,广东省,国企,0.15087,0.098507,178.16974,0.738504,0.090363,1.089367,7.419321,63.561496000000005,97.221959,0.1333224569759921,8.82,1.37,5.225746673713202,0.2848421307013399,0.0,8.0,8.0,5.0,0.134132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1634518610134115,1.2641878669275908,0.3470513832019564,12.000058117670918,0.0,1.0,16.43,17.11,金属制品业,0.12188073305545775
000039,2022,中集集团,33,广东省,国企,0.076919,0.046061,100.19854,-0.135369,0.052414,0.942879,5.92479,64.87827800000001,119.696469,0.1001882872488187,9.68,1.78,5.438079308923196,0.0,0.0,9.0,9.0,5.0,0.145932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74599177385872,-0.3923008541723005,0.17583422773222424,12.000082349373177,0.0,1.0,12.35,11.14,金属制品业,0.11715690501196471
000039,2023,中集集团,33,广东省,国企,0.029278,0.028219,76.22899,-0.096986,0.022864,0.830841,5.650778,65.288522,126.741576,0.0167107565165936,11.25,1.91,5.680172609017068,0.23992998458432,0.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5242834373518725,-1.767456298624448,-0.003213017710419152,12.000103003052672,0.0,5.0,6.92,8.63,金属制品业,0.10875802628716422
000049,2018,德赛电池,38,广东省,国企,0.257663,0.094575,9.0472744731,0.381489,0.040827,2.098307,4.429653,64.03238800000001,133.597516,0.0138481219597189,7.37,1.78,3.332204510175204,0.0362166174011,0.0,5.0,6.0,3.0,0.258972,0.0,0.0,0.0,0.0,0.0,22.1627,0.0,0.0,0.0,1.6326771180814008,-0.1983752125448656,0.14463142527113315,0.0,0.0,0.0,80.98,61.12,电气机械和器材制造业,0.0876128693440916
000049,2019,德赛电池,38,广东省,国企,0.261354,0.099751,10.5134517799,0.069189,0.048502,2.096691,4.566989,63.763088,129.256057,0.1818177492095938,9.13,1.61,2.9444389791664403,0.02591453025202,0.0,6.0,7.0,3.0,0.247934,0.0,0.0,0.0,0.0,0.0,21.952,0.0,0.0,0.0,1.892722453008005,-7.7709417889257,0.03441382078987165,0.0,0.0,0.0,81.33,61.82,电气机械和器材制造业,0.0899023041138494
000049,2020,德赛电池,38,广东省,国企,0.260497,0.106908,12.0293650438,0.051789,0.049776,2.178375,4.527612,61.623772,119.211102,0.1418427509293247,8.85,1.81,3.091042453358316,0.02353187393865,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.952,0.0,0.0,0.0,1.9727269870497304,0.913382594417067,0.017092216183905773,0.0,0.0,0.0,73.73,60.95,电气机械和器材制造业,0.07723750313519893
000049,2021,德赛电池,38,广东省,国企,0.253994,0.098206,12.565872226600002,0.003765,0.051284,1.960813,3.976084,62.919681000000004,136.085028,0.0445775547249609,8.85,2.09,2.995732273553991,0.044981434596885,0.0,8.0,8.0,6.0,0.206875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8429582892778045,7.444320146445649,0.06205421012621959,0.0,0.0,4.0,65.58,57.41,电气机械和器材制造业,0.09292348542164003
000049,2022,德赛电池,38,广东省,国企,0.222728,0.084468,13.180971961300001,0.117009,0.047726,1.86756,4.46694,64.02903,132.885599,0.0312383609598145,11.78,2.53,3.332204510175204,0.046692682412905,0.0,9.0,9.0,5.0,0.152189,0.0,0.0,0.0,0.0,0.0,2.293,0.0,0.0,0.0,1.9639810452392992,4.817794604827252,0.31364743782780535,0.0,0.0,4.0,67.84,57.27,电气机械和器材制造业,0.09574487529641296
000049,2023,德赛电池,38,广东省,国企,0.096404,0.040801,11.3410641648,-0.067323,0.027404,1.397373,4.257226,63.79489900000001,135.284312,0.1758478004633755,12.97,3.17,3.970291913552122,0.13968043244043,0.0,10.0,10.0,5.0,0.111801,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,1.8543668486269311,-1.2190716994762485,-0.24462584840214507,0.0,0.0,2.0,65.17,50.28,电气机械和器材制造业,0.10044160324308163
000055,2018,方大集团,33,广东省,民营,0.532637,0.333856,30.805453356199997,0.034338,1.067268,0.333476,1.587669,67.98285,344.724216,0.036317479788471,18.31,4.54,0.0,0.01229050382493,0.0,1.0,2.0,3.0,0.093985,0.0,0.0,0.0,0.0,0.0,1.512,0.0,0.0,0.0,1.3819946292203082,2.6046511627906943,0.10183217667375179,8.000242655768691,0.0,2.0,18.5,18.58,金属制品业,0.05071147556468475
000055,2019,方大集团,33,广东省,民营,0.066516,0.045363,5.2718098066,-0.014082,0.160303,0.272892,1.550848,68.029413,351.889597,-0.0004648062650296,21.0,4.56,0.0,0.050284714035095,0.0,2.0,3.0,5.0,0.215018,0.0,0.0,0.0,0.0,0.0,1.533,0.0,0.0,0.0,1.255010254137787,8.567543064369909,0.25462350774058184,9.000131836368027,0.0,1.0,22.52,18.9,金属制品业,0.0597524762637687
000055,2020,方大集团,33,广东省,民营,0.071503,0.047675,5.8310021033,-0.008801,0.179867,0.256429,2.316368,68.096484,277.416797,0.0462388460838666,25.17,4.75,0.0,0.0478344680080599,0.0,3.0,4.0,5.0,0.134739,0.0,0.0,0.0,0.0,0.0,1.6305,0.0,0.0,0.0,1.3270808063073496,-6.263048016701466,0.07774218860454973,9.000220230126367,0.0,3.0,15.07,21.18,金属制品业,0.06278867719855805
000055,2021,方大集团,33,广东省,民营,0.041043,0.030711,4.0411151659,0.194149,0.080714,0.294599,6.063886,67.646444,164.030478,-0.0051727873097603,19.03,4.3,0.0,0.0482374973662,0.0,4.0,5.0,3.0,0.1101,0.0,0.0,0.0,0.0,0.0,1.6665,0.0,0.0,0.0,1.2023401140723218,31.804008908685976,0.14757229658484916,9.000345459922643,0.0,10.0,15.68,17.5,金属制品业,0.061618707790031466
000055,2022,方大集团,33,广东省,民营,0.050152,0.033906,4.6213606628,0.081302,0.094703,0.307678,5.540215,67.11980000000001,156.189716,0.0173564861708045,20.19,4.21,0.0,0.04600502032521,0.0,5.0,6.0,5.0,0.178731,0.0,0.0,0.0,0.0,0.0,1.6665,20.0,0.0,0.0,1.318812460898183,-1.4193984454207498,-0.027799650391551967,9.000191270024288,0.0,6.0,17.85,22.03,金属制品业,0.06993155127479081
000055,2023,方大集团,33,广东省,民营,0.046724,0.029907,4.299501488,0.115735,0.080837,0.328633,4.922876,66.517224,152.73446,0.0224083670411434,21.5,4.2,0.0,0.037905505770615,0.0,6.0,7.0,5.0,0.102589,0.0,0.0,0.0,0.0,0.0,1.6665,8020.0,0.0,0.0,1.3608765745117313,8.124785738772712,0.10293610457885194,9.0,0.0,6.0,12.58,18.26,金属制品业,0.0739219060993237
000059,2018,华锦股份,25,辽宁省,国企,0.08514,0.057988,32.7250776892,0.08808,0.039373,1.156676,113.116361,63.81446700000001,52.906461,0.0731085226846912,2.4,0.24,0.0,0.01826416165983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.420738797094481,-18.909410729991205,0.7411661869963551,0.0,0.0,0.0,26.36,92.66,石油加工、炼焦和核燃料加工业,0.026163810506946286
000059,2019,华锦股份,25,辽宁省,国企,0.075054,0.053654,32.4115015728,0.079738,0.033159,1.24612,236.002094,62.738459000000006,44.879944,0.0927639325008104,2.94,0.25,0.0,0.02273198565699,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8662,0.0,0.0,0.0,4.579528382360967,4.229934924078083,-0.23772908373521554,0.0,0.0,3.0,23.59,94.46,石油加工、炼焦和核燃料加工业,0.03343102497670792
000059,2020,华锦股份,25,辽宁省,国企,0.024417,0.028238,22.5412145736,-0.23154,0.013541,1.063152,187.833057,63.055773,47.101615,0.1008843057125847,1.95,0.37,0.0,0.041748175919995,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,0.0,3.6530769869083057,-3.6651636027286383,-0.18992445135774727,0.0,0.0,0.0,19.58,93.94,石油加工、炼焦和核燃料加工业,0.030150414606904163
000059,2021,华锦股份,25,辽宁省,国企,0.064643,0.047671,28.755774881100002,0.266608,0.029932,1.284745,216.933486,62.81107300000001,45.39271,0.0873325212364775,0.66,0.32,0.0,0.028694542256115,0.0,4.0,2.0,1.0,0.042096,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,0.0,4.785539607888531,-3.3125300048007733,0.6856414764528591,9.0,0.0,2.0,22.92,90.61,石油加工、炼焦和核燃料加工业,0.061759713080296354
000059,2022,华锦股份,25,辽宁省,国企,0.040003,0.032443,27.2103884084,0.272612,0.017119,1.493241,365.822164,62.61586500000001,43.709452,0.0537557646422669,1.78,0.29,0.0,0.029927552626355,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3782,0.0,0.0,0.0,5.915377907861105,2.9543197616683115,0.033902829864632,10.0,0.0,1.0,13.86,93.5,石油加工、炼焦和核燃料加工业,0.061174181597251805
000059,2023,华锦股份,25,辽宁省,国企,0.005524,0.010459,19.6407367615,-0.059519,0.003373,1.430414,337.038728,63.96357400000001,51.791781,0.0304259609594986,1.62,0.35,0.0,0.048327403578355,0.0,6.0,3.0,2.0,0.095199,0.0,0.0,0.0,0.0,0.0,12.3782,9.0,0.0,0.0,5.886211934765914,-5.485893416927901,-0.2531876473892159,10.0000122659373,3.0,0.0,24.25,94.95,石油加工、炼焦和核燃料加工业,0.0955072747153264
000060,2018,中金岭南,32,广东省,国企,0.086124,0.079544,22.7213254385,0.052325,0.066359,1.040434,38.434552,63.326683,56.083388,0.1010835371514144,8.09,0.95,0.0,0.010983435213145,0.0,0.0,1.0,1.0,0.041784,0.0,0.0,0.0,0.0,1.0,0.445,0.0,0.0,0.0,2.030255161432775,1.7552916881775849,0.24013554375995974,9.0,0.0,1.0,36.57,43.94,有色金属冶炼和压延加工业,0.045947156541618676
000060,2019,中金岭南,32,广东省,国企,0.078927,0.060465,19.996001476300002,0.141413,0.046222,1.14498,41.801661,60.501296,42.971099,0.109313549470186,8.67,1.3,0.0,0.010073078275735,0.0,1.0,2.0,4.0,0.142325,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0,2.376190789891791,-2.475900558092337,0.09246020712449642,9.000053661552297,0.0,2.0,34.79,38.74,有色金属冶炼和压延加工业,0.05672529092362932
000060,2020,中金岭南,32,广东省,国企,0.090876,0.062594,20.9638924834,0.324694,0.042266,1.35334,52.899321,56.135709000000006,31.276868,0.0658068220894011,8.73,1.04,0.0,0.008934541066345,0.0,2.0,3.0,2.0,0.057809,0.0,0.0,1.0,0.0,0.0,0.4023,0.0,0.0,0.0,3.076032809367565,2.3306627822286874,-0.000588562802247283,9.00003478254565,0.0,1.0,42.9,41.46,有色金属冶炼和压延加工业,0.054479399290261174
000060,2021,中金岭南,32,广东省,国企,0.091795,0.063441,24.1558353764,0.470924,0.034421,1.71115,73.909717,52.37664600000001,24.368971,0.0640308694740039,9.1,0.8,0.0,0.0156147384460999,0.0,3.0,4.0,3.0,0.055009,0.0,0.0,0.0,0.0,1.0,3.372,0.0,0.0,0.0,4.604672485511176,-1.738688357905438,0.19611223377724382,9.000026992657627,0.0,2.0,40.52,35.2,有色金属冶炼和压延加工业,0.061971633793608066
000060,2022,中金岭南,32,广东省,国企,0.085024,0.048907,22.6795102817,0.245793,0.025575,1.836801,84.593142,53.347786000000006,24.804565,0.0331001782492059,9.27,0.7,0.0,0.010219523856225,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572,0.0,0.0,0.0,5.689957474347737,0.8174668874172175,-0.11054818441783519,11.000007173334383,0.0,0.0,40.34,41.24,有色金属冶炼和压延加工业,0.05718172561175165
000060,2023,中金岭南,32,广东省,国企,0.064174,0.046437,30.7558173718,0.184161,0.018478,1.733485,92.183847,61.049238,40.054154,0.0365054150153758,9.02,0.66,0.0,0.028685879309075,0.0,5.0,5.0,4.0,0.089541,0.0,0.0,0.0,0.0,0.0,3.572,0.0,0.0,0.0,5.6822172342664246,18.577440213486597,-0.1354142284775298,10.000057182012135,0.0,1.0,35.38,34.32,有色金属冶炼和压延加工业,0.0709616423949626
000153,2018,丰原药业,27,安徽省,民营,0.048329,0.043057,2.0526978902,0.168841,0.031784,1.043471,4.753653,66.899387,162.420666,0.0776571397760667,3.32,2.92,0.0,0.0263964142052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.7247,0.0,0.0,0.0,0.6333323590521227,4.091008532049889,0.24913535808127563,0.0,0.0,0.0,7.36,18.48,医药制造业,0.014252837943713962
000153,2019,丰原药业,27,安徽省,民营,0.06156,0.048176,2.3929423699,0.074557,0.037979,0.986071,4.924507,66.93578400000001,160.494315,0.0186012541786429,3.42,2.73,0.0,0.020656473566265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4616,0.0,0.0,0.0,0.6936727585925451,-1.8915510718789383,0.1647023774713372,0.0,0.0,0.0,9.36,14.54,医药制造业,0.008898232500639288
000153,2020,丰原药业,27,安徽省,民营,0.073581,0.049693,2.6584446644999997,0.025669,0.042694,0.923086,4.905514,66.881352,160.120321,0.0805106206428074,3.51,2.79,2.9444389791664403,0.01720713208864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2526,0.0,0.0,0.0,0.7289689124956101,-2.3993144815766976,0.05887234425097154,0.0,0.0,0.0,11.13,19.81,医药制造业,0.03035752881499055
000153,2021,丰原药业,27,安徽省,民营,0.072842,0.050531,2.7601566226,0.054344,0.044199,0.939725,5.259369,66.698261,151.17853,0.0623325826422211,3.66,2.69,0.0,0.01263097786028,0.0,0.0,1.0,1.0,0.052704,0.0,0.0,0.0,0.0,1.0,15.398,0.0,0.0,0.0,0.7716326008043191,-0.3950834064969322,0.25179888300406916,0.0,0.0,2.0,10.67,22.97,医药制造业,0.019256762342155724
000153,2022,丰原药业,27,安徽省,民营,0.085613,0.054453,3.3876952042000004,0.143461,0.052555,0.938996,5.914043,66.91676100000001,147.705637,0.0984485921693168,3.57,2.03,0.0,0.019580539330545,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2711,9.0,0.0,0.0,0.8603395748990116,2.556192155134429,0.11333603253332279,0.0,0.0,1.0,10.65,18.35,医药制造业,0.01385636820301683
000153,2023,丰原药业,27,安徽省,民营,0.085637,0.054326,3.56005047,0.067786,0.052431,0.965049,5.762577,66.170224,136.466828,0.0580125757044661,3.58,2.43,0.0,0.039307109291665,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2177,15.0,0.0,0.0,0.915511073601713,0.3437902879243726,0.10764682775361291,0.0,0.0,0.0,11.4,20.55,医药制造业,0.014926070931210355
000333,2018,美的集团,38,广东省,民营,0.246898,0.09359,287.67474,0.083386,0.10875,1.014696,14.066772,64.79270100000001,83.258024,0.1056539958635295,10.74,3.78,0.0,0.0,0.0,5.0,6.0,6.0,0.255678,7.0,0.0,0.0,0.0,0.0,1.8094,0.0,0.0,0.0,2.281354376334248,12.706970714748689,0.10300219151977143,10.000019558781284,0.0,3.0,9.76,4.99,电气机械和器材制造业,0.1444443152419606
000333,2019,美的集团,38,广东省,民营,0.252834,0.09793,328.6574,0.067072,0.119152,0.983692,14.622172,64.786304,82.214937,0.1278016606815723,10.18,3.46,0.0,0.0,0.0,6.0,7.0,6.0,0.232384,7.0,0.0,1.0,0.0,0.0,1.7293,0.0,0.0,0.0,2.071065375805244,17.541933516315943,0.11197383415768192,10.0,0.0,6.0,12.86,5.42,电气机械和器材制造业,0.15176273511485072
000333,2020,美的集团,38,广东省,民营,0.237398,0.087646,340.45763,0.022654,0.122423,0.858236,13.650642,64.46002700000001,81.426516,0.082015937378642,10.77,3.56,0.0,0.0,0.0,7.0,8.0,6.0,0.206879,3.0,0.0,2.0,0.0,0.0,1.6819,0.0,0.0,0.0,1.9144441399366117,10.631815385071564,0.08059419130409375,10.0,0.0,22.0,13.89,5.14,电气机械和器材制造业,0.12747441439814383
000333,2021,美的集团,38,广东省,民营,0.224003,0.078392,355.14285,0.201782,0.107835,0.911987,14.333072,64.29081400000001,78.58957,0.0904551009487647,10.92,3.52,0.0,0.0,0.0,8.0,9.0,7.0,0.240596,0.0,0.0,12.0,0.0,0.0,1.6922,0.0,0.0,0.0,2.0709462964191583,11.09629520433666,0.08344512627354096,10.0,0.0,20.0,10.63,6.26,电气机械和器材制造业,0.11650004054432461
000333,2022,美的集团,38,广东省,民营,0.207919,0.077899,380.7636,0.006838,0.11217,0.848654,13.008845,65.49576,92.479757,0.0820196331856396,12.5,3.67,0.0,0.0,2.0,9.0,10.0,6.0,0.139179,0.0,0.0,34.0,0.0,0.0,1.6895,24.0,0.0,0.0,2.0795384226704283,0.267794136273447,-0.05082182640121625,10.000004036153015,0.0,21.0,11.36,6.36,电气机械和器材制造业,0.2513115717464797
000333,2023,美的集团,38,广东省,民营,0.206885,0.081479,443.64428,0.080996,0.120238,0.81893,12.173455,65.30440700000001,92.300524,0.1191318149604476,11.69,3.92,0.0,0.0,2.0,10.0,11.0,7.0,0.132599,0.0,0.0,2.0,5.0,0.0,1.6824,114.0,0.0,0.0,1.8815979014465316,19.471496544215405,0.268980932765323,10.0,0.0,5.0,11.74,6.19,电气机械和器材制造业,0.2380562142939706
000338,2018,潍柴动力,36,山东省,国企,0.196026,0.070565,213.3754377766,0.050712,0.095126,0.806533,11.916824,65.05734600000001,90.423989,0.1084471108710478,9.1,4.08,0.0,0.08351113342227,0.0,7.0,6.0,4.0,0.112034,0.0,0.0,5.0,0.0,0.0,5.274,0.0,0.0,1.0,3.782529327765718,1.6931549200521756,0.07782483422470432,9.0,0.0,2.0,14.49,12.9,汽车制造业,0.08344808275834625
000338,2019,潍柴动力,36,山东省,国企,0.180363,0.06592,226.42941931869998,0.094848,0.089352,0.788771,12.70823,65.153722,89.475786,0.1006398038958824,9.36,4.21,0.0,0.065439343456475,0.0,8.0,7.0,3.0,0.114931,0.0,0.0,11.0,0.0,0.0,1.772,0.0,0.0,1.0,3.9788437888015142,4.082844452889334,0.07798562134185638,11.000016005116926,0.0,0.0,12.96,12.31,汽车制造业,0.09353969200132663
000338,2020,潍柴动力,36,山东省,国企,0.150123,0.051068,151.1939755958,0.132657,0.068532,0.778165,13.295867,65.464656,91.773077,0.0846838108748694,6.72,4.2,0.0,0.062176764608145,0.0,9.0,8.0,2.0,0.077244,0.0,0.0,22.0,0.0,1.0,1.772,0.0,0.0,1.0,4.353764090880272,3.5119346446990107,-0.017583594392753144,11.0,0.0,0.0,14.2,13.74,汽车制造业,0.10777360405901694
000338,2021,潍柴动力,36,山东省,国企,0.125905,0.049641,242.0182474679,0.030668,0.073918,0.742731,12.160791,65.94749200000001,100.01778,0.0529068912126982,12.62,4.21,0.0,0.05128780779552,0.0,10.0,9.0,5.0,0.14687,0.0,0.0,19.0,0.0,0.0,1.63,0.0,15.886802167366431,2.0,4.738847188726515,-5.3085249443354465,0.08639923157515582,10.000008383747495,0.0,1.0,16.39,10.67,汽车制造业,0.14074041214147442
000338,2022,潍柴动力,36,山东省,国企,0.054218,0.017628,73.7421672566,-0.139477,0.035781,0.596461,8.739151,66.975109,128.952653,-0.0080005779302653,15.93,5.05,0.0,0.06938079097248,0.0,11.0,10.0,4.0,0.178667,0.0,0.0,21.0,0.0,0.0,1.63,357.0,0.0,3.0,3.7715330008574135,8.12283193257748,0.028270198714364314,10.00000982307388,0.0,0.0,10.81,6.81,汽车制造业,0.12515941983334083
